as_of,name,tweet_volume
2020-04-08T21:32:59Z,Joe Biden,1302237
2020-04-09T01:36:48Z,Joe Biden,1605824
2020-04-09T02:37:43Z,Joe Biden,1663480
2020-04-09T03:38:40Z,Joe Biden,1718911
2020-04-09T08:43:13Z,Joe Biden,1858099
2020-04-14T23:50:58Z,Donald Trump,4276460
2020-04-15T00:51:56Z,Donald Trump,4246980
2020-04-15T01:52:53Z,Donald Trump,4231917
2020-04-15T02:53:51Z,Donald Trump,4215631
2020-04-15T04:56:03Z,Donald Trump,4209314
2020-04-15T05:57:08Z,Donald Trump,4217076
2020-04-15T06:58:11Z,Donald Trump,4228531
2020-04-15T07:59:14Z,Donald Trump,4246179
2020-04-15T09:00:19Z,Donald Trump,4264138
2020-04-15T10:01:14Z,Donald Trump,4277282
2020-04-15T11:02:08Z,Donald Trump,4289658
2020-04-15T12:03:03Z,Donald Trump,4303827
2020-04-15T13:03:59Z,Donald Trump,4320689
2020-04-16T03:17:56Z,Donald Trump,3884294
2020-04-16T04:18:53Z,Donald Trump,3892117
2020-04-16T05:19:47Z,Donald Trump,3890863
2020-04-16T06:20:41Z,Donald Trump,3875722
2020-04-16T07:21:34Z,Donald Trump,3854582
2020-04-16T09:23:21Z,Donald Trump,3818438
2020-04-17T02:39:28Z,Donald Trump,2994117
2020-04-17T03:40:25Z,Donald Trump,2979662
2020-04-17T04:41:20Z,Donald Trump,2979092
2020-04-17T05:42:15Z,Donald Trump,2969039
2020-04-17T07:44:03Z,Donald Trump,2949002
2020-04-17T08:44:57Z,Donald Trump,2941441
2020-04-18T04:03:30Z,Donald Trump,2959757
2020-04-18T06:05:19Z,Donald Trump,2978179
2020-04-18T07:06:12Z,Donald Trump,2985517
2020-04-18T08:07:06Z,Donald Trump,2960110
2020-04-18T09:08:00Z,Donald Trump,2962238
2020-04-19T08:29:40Z,Donald Trump,2758549
2020-04-24T23:38:17Z,Donald Trump,4162339
2020-04-25T00:39:12Z,Donald Trump,4184840
2020-04-25T01:40:25Z,Donald Trump,4195961
2020-04-25T02:41:21Z,Donald Trump,4198891
2020-04-25T03:42:17Z,Donald Trump,4197962
2020-04-25T04:43:12Z,Donald Trump,4212455
2020-04-25T05:44:06Z,Donald Trump,4218810
2020-04-25T06:45:12Z,Donald Trump,4217315
2020-04-25T07:46:05Z,Donald Trump,4213169
2020-04-25T08:46:58Z,Donald Trump,4194595
2020-04-25T17:55:16Z,Donald Trump,3575210
2020-04-26T03:03:50Z,Donald Trump,2933888
2020-04-26T04:04:45Z,Donald Trump,2786911
2020-04-26T05:05:39Z,Donald Trump,2778335
