Nombre,Harris,Pence,Biden,Trump,Fecha,Tuits
Joe Biden,,,Joe Biden,,2020-04-08 21:32:59,1302237
Joe Biden,,,Joe Biden,,2020-04-09 01:36:48,1605824
Joe Biden,,,Joe Biden,,2020-04-09 02:37:43,1663480
Joe Biden,,,Joe Biden,,2020-04-09 03:38:40,1718911
Joe Biden,,,Joe Biden,,2020-04-09 08:43:13,1858099
Donald Trump,,,,Donald Trump,2020-04-14 23:50:58,4276460
Donald Trump,,,,Donald Trump,2020-04-15 00:51:56,4246980
Donald Trump,,,,Donald Trump,2020-04-15 01:52:53,4231917
Donald Trump,,,,Donald Trump,2020-04-15 02:53:51,4215631
Donald Trump,,,,Donald Trump,2020-04-15 04:56:03,4209314
Donald Trump,,,,Donald Trump,2020-04-15 05:57:08,4217076
Donald Trump,,,,Donald Trump,2020-04-15 06:58:11,4228531
Donald Trump,,,,Donald Trump,2020-04-15 07:59:14,4246179
Donald Trump,,,,Donald Trump,2020-04-15 09:00:19,4264138
Donald Trump,,,,Donald Trump,2020-04-15 10:01:14,4277282
Donald Trump,,,,Donald Trump,2020-04-15 11:02:08,4289658
Donald Trump,,,,Donald Trump,2020-04-15 12:03:03,4303827
Donald Trump,,,,Donald Trump,2020-04-15 13:03:59,4320689
Donald Trump,,,,Donald Trump,2020-04-16 03:17:56,3884294
Donald Trump,,,,Donald Trump,2020-04-16 04:18:53,3892117
Donald Trump,,,,Donald Trump,2020-04-16 05:19:47,3890863
Donald Trump,,,,Donald Trump,2020-04-16 06:20:41,3875722
Donald Trump,,,,Donald Trump,2020-04-16 07:21:34,3854582
Donald Trump,,,,Donald Trump,2020-04-16 09:23:21,3818438
Donald Trump,,,,Donald Trump,2020-04-17 02:39:28,2994117
Donald Trump,,,,Donald Trump,2020-04-17 03:40:25,2979662
Donald Trump,,,,Donald Trump,2020-04-17 04:41:20,2979092
Donald Trump,,,,Donald Trump,2020-04-17 05:42:15,2969039
Donald Trump,,,,Donald Trump,2020-04-17 07:44:03,2949002
Donald Trump,,,,Donald Trump,2020-04-17 08:44:57,2941441
Donald Trump,,,,Donald Trump,2020-04-18 04:03:30,2959757
Donald Trump,,,,Donald Trump,2020-04-18 06:05:19,2978179
Donald Trump,,,,Donald Trump,2020-04-18 07:06:12,2985517
Donald Trump,,,,Donald Trump,2020-04-18 08:07:06,2960110
Donald Trump,,,,Donald Trump,2020-04-18 09:08,2962238
Donald Trump,,,,Donald Trump,2020-04-19 08:29:40,2758549
Donald Trump,,,,Donald Trump,2020-04-24 23:38:17,4162339
Donald Trump,,,,Donald Trump,2020-04-25 00:39:12,4184840
Donald Trump,,,,Donald Trump,2020-04-25 01:40:25,4195961
Donald Trump,,,,Donald Trump,2020-04-25 02:41:21,4198891
Donald Trump,,,,Donald Trump,2020-04-25 03:42:17,4197962
Donald Trump,,,,Donald Trump,2020-04-25 04:43:12,4212455
Donald Trump,,,,Donald Trump,2020-04-25 05:44:06,4218810
Donald Trump,,,,Donald Trump,2020-04-25 06:45:12,4217315
Donald Trump,,,,Donald Trump,2020-04-25 07:46:05,4213169
Donald Trump,,,,Donald Trump,2020-04-25 08:46:58,4194595
Donald Trump,,,,Donald Trump,2020-04-25 17:55:16,3575210
Donald Trump,,,,Donald Trump,2020-04-26 03:03:50,2933888
Donald Trump,,,,Donald Trump,2020-04-26 04:04:45,2786911
Donald Trump,,,,Donald Trump,2020-04-26 05:05:39,2778335
